feature,perm_increase_mse_mean,perm_increase_mse_std
t4,0.00031089994200000107,4.3855331385284705e-05
t7,0.00027609138800000084,2.3233898968456254e-05
y5,8.234427308334082e-05,4.008986861168574e-05
y1,7.224319016667195e-05,1.1116037316656506e-05
z6,6.116048149999674e-05,2.3095563798477853e-05
z2,4.8119290750006764e-05,1.5953706883864605e-05
x8,3.793677083334136e-05,3.3199855909576288e-06
x3,3.320207950000588e-05,1.5933702486311385e-05
y3,3.0299721833341776e-05,1.0935784668972018e-05
z3,2.5150474583334956e-05,1.1529943212535293e-05
z4,1.8798247166678406e-05,3.0642785884519776e-05
y8,1.657339550001277e-05,3.579069782871164e-05
y2,7.083876666676726e-06,2.0023081512242785e-05
y6,-1.1350025583329222e-05,1.125155503024241e-05
y7,-1.140144324999863e-05,1.3377102024363696e-05
x1,-1.6983614749989615e-05,7.412958475877204e-06
y10,-1.9954478499992673e-05,3.0949598289004965e-05
y9,-2.165283258332625e-05,2.198576735122807e-05
x10,-2.567403916665459e-05,2.855228040890529e-05
x6,-2.9987482416658307e-05,1.5940306894990798e-05
z10,-3.189151766665952e-05,1.1940329246410259e-05
z7,-3.210156324998994e-05,2.1011565154288527e-05
x2,-4.776841158332391e-05,2.6222489667898904e-05
z5,-4.839482308332717e-05,1.127471646202666e-05
z9,-5.4653098583324135e-05,2.9921950193640323e-05
x4,-5.9021846500001764e-05,3.998803452261152e-05
y4,-5.9846960666656375e-05,2.1477451471480468e-05
z1,-8.048750474999196e-05,2.4103377344887605e-05
x9,-8.399887833332753e-05,2.556969632109906e-05
z8,-8.670522549999206e-05,2.836124888298525e-05
x7,-0.00012178771991665448,2.2933506351786474e-05
x5,-0.00014380258783332385,1.9703249481493818e-05
t3,-0.0003063540279166684,6.334579693349974e-05
t8,-0.00033722180933333664,5.450763225173098e-05
t6,-0.0005474109296667431,0.00014257636062033692
t5,-0.000627076248333408,0.0002258213595352422
t1,-0.027268072753332085,0.0005542365675557206
t10,-0.028349790888998694,0.0007427870689291127
t2,-0.03367103054341519,0.0033943467395657315
t9,-0.03817540894933167,0.003569723105987625
