seed,model,dataset,mse,rmse,mae,r2
42,DeepMLP,train,0.005280709825456142,0.07266849265986011,0.05196327716112137,0.9521468877792358
42,DeepMLP,val,0.030301347374916077,0.17407282204559124,0.11393271386623383,0.4104350507259369
42,DeepMLP,test,0.03434929996728897,0.1853356413841897,0.13055148720741272,0.4296521246433258
123,DeepMLP,train,0.004939273931086063,0.07027996820635353,0.05054572969675064,0.9554375410079956
123,DeepMLP,val,0.026746589690446854,0.16354384638514177,0.10586635768413544,0.4396979808807373
123,DeepMLP,test,0.033311013132333755,0.18251304921110095,0.13053037226200104,0.4457412362098694
2025,DeepMLP,train,0.005143061280250549,0.07171513982591507,0.051995404064655304,0.9431430101394653
2025,DeepMLP,val,0.02621138095855713,0.1618992926437825,0.10247423499822617,0.3912592828273773
2025,DeepMLP,test,0.030722269788384438,0.17527769335652624,0.12295607477426529,0.44248804450035095
31,DeepMLP,train,0.0037791249342262745,0.06147458771090925,0.04428160935640335,0.9596425294876099
31,DeepMLP,val,0.028098085895180702,0.16762483674915452,0.10597874969244003,0.35248178243637085
31,DeepMLP,test,0.03252369910478592,0.1803432812854028,0.12676098942756653,0.4133221507072449
